,title,link,area,price,year,km,image
10,Suzuki/Jimny 2021款 1.5L,https://www.8891.com.tw/usedauto-infos-3386686.html?display__sale_code=&flow_id=9e2a7d89-f4eb-4504-85c2-00ad4d9d27c5,高雄市,89.5萬,2020年,1.1萬km,https://p1.8891.com.tw/2022/09/28/1664356573586883_220_165.jpg
11,Suzuki/Jimny 2021款 1.5L,https://www.8891.com.tw/usedauto-infos-3402646.html?display__sale_code=3010013&flow_id=6ba61850-0d3e-440f-a298-4dbafa322020,新北市,89.0萬,2020年,1.2萬km,https://p1.8891.com.tw/2023/02/08/1675836402104813_220_165.jpg
12,Suzuki/Jimny 2021款 1.5L,https://www.8891.com.tw/usedauto-infos-3376796.html?display__sale_code=9005001&flow_id=7a9c5f18-52e6-4542-b027-048d5cc6f17f,桃園市,89.0萬,2020年,1.0萬km,https://p1.8891.com.tw/2023/01/09/1673234834177293_220_165.jpg
13,Suzuki/Jimny 2020款 1.5L,https://www.8891.com.tw/usedauto-infos-3400271.html?display__sale_code=&flow_id=fdea42bf-f66e-4f2f-a3c9-7353c60bb20f,高雄市,88.8萬,2020年,1.9萬km,https://p1.8891.com.tw/2023/01/06/7/1672992098839157_220_165.jpg
14,Suzuki/Jimny 2021款 1.5L,https://www.8891.com.tw/usedauto-infos-3376781.html?display__sale_code=9005001&flow_id=bf93dc79-c35e-46db-9e2c-4f4625f99e37,桃園市,88.0萬,2020年,1.0萬km,https://p2.8891.com.tw/2023/01/09/1673234445577172_220_165.jpg
15,Suzuki/Jimny 2021款 1.5L,https://www.8891.com.tw/usedauto-infos-3403887.html?display__sale_code=9005002&flow_id=f2305b11-8c5c-455a-b462-79c45f66d5e7,新北市,87.8萬,2020年,3.0萬km,https://p2.8891.com.tw/2023/02/09/1675923048724534_220_165.jpg
16,Suzuki/Jimny 2021款 1.5L,https://www.8891.com.tw/usedauto-infos-3406120.html?display__sale_code=3010013&flow_id=77c31679-82fb-467d-bec0-ea956efb680d,台中市,86.8萬,2020年,4.0萬km,https://p1.8891.com.tw/2023/02/11/1676084888961313_220_165.jpg
17,Suzuki/Jimny 2020款 1.5L,https://www.8891.com.tw/usedauto-infos-3397301.html?display__sale_code=&flow_id=092458b7-87ab-44ea-b0b3-3796f9e4b452,高雄市,86.8萬,2020年,2.3萬km,https://p2.8891.com.tw/2022/10/14/1665710011180308_220_165.jpg
18,Suzuki/Jimny 2021款 1.5L,https://www.8891.com.tw/usedauto-infos-3401740.html?display__sale_code=&flow_id=ee445609-47e7-457c-9527-71fac1ba9bea,新北市,86.8萬,2020年,4.0萬km,https://p1.8891.com.tw/2023/02/07/1675758347216395_220_165.jpg
19,Suzuki/Jimny 2021款 1.5L,https://www.8891.com.tw/usedauto-infos-3386334.html?display__sale_code=&flow_id=fa166560-3e83-4c5d-bc33-7e1fecf36e1e,桃園市,86.8萬,2020年,3.0萬km,https://p2.8891.com.tw/2023/01/18/1674043147524642_220_165.jpg
20,Suzuki/Jimny 2020款 1.5L,https://www.8891.com.tw/usedauto-infos-3381301.html?display__sale_code=&flow_id=55e24bc4-1b0d-45f3-a3ab-3bd6363ace6e,桃園市,86.8萬,2020年,4.0萬km,https://p1.8891.com.tw/2023/01/13/1673575897923379_220_165.jpg
21,Suzuki/Jimny 2021款 1.5L,https://www.8891.com.tw/usedauto-infos-3409344.html?display__sale_code=9005002&flow_id=2ed24c50-9524-4828-8e2b-304c61c45b51,新北市,85.8萬,2020年,4.0萬km,https://p1.8891.com.tw/2023/02/14/1676352293481519_220_165.jpg
22,Suzuki/Jimny 2020款 1.5L,https://www.8891.com.tw/usedauto-infos-3394438.html?display__sale_code=&flow_id=1caa5da4-9abd-45df-b88e-6a9efd998915,台中市,84.8萬,2020年,3.5萬km,https://p2.8891.com.tw/2023/02/01/7/1675234158879346_220_165.jpg
23,Suzuki/Jimny 2020款 1.5L,https://www.8891.com.tw/usedauto-infos-3392819.html?display__sale_code=&flow_id=0697326c-f89d-4d49-8bfa-8cbffe923b72,新竹市,81.0萬,2020年,2.0萬km,https://p2.8891.com.tw/2023/01/31/1675140988291540_220_165.jpg
24,Suzuki/Jimny 2021款 1.5L,https://www.8891.com.tw/usedauto-infos-3401808.html?display__sale_code=9005002&flow_id=a437e8f9-a49b-4d28-ba9d-30f209b88719,新北市,78.8萬,2020年,4.0萬km,https://p1.8891.com.tw/2023/02/07/1675760853525689_220_165.jpg
25,Suzuki/Jimny 2021款 1.5L,https://www.8891.com.tw/usedauto-infos-3397469.html?display__sale_code=&flow_id=c7dd1895-f82b-4917-b689-ad96fea5436d,新北市,78.8萬,2020年,3.0萬km,https://p2.8891.com.tw/2023/02/07/1675759247645472_220_165.jpg
26,Suzuki/Jimny 2021款 1.5L,https://www.8891.com.tw/usedauto-infos-3401795.html?display__sale_code=9005002&flow_id=91570a30-1d7d-42d6-baf5-9489f3e4d298,新北市,65.8萬,2020年,3.0萬km,https://p1.8891.com.tw/2023/02/07/1675760328414447_220_165.jpg
